Soil_color,Nitrogen,Phosphorus,Potassium,pH,Crop,Fertilizer
Black,80,50,105,6.5,Sugarcane,MOP
Black,85,50,105,6.5,Sugarcane,MOP
Black,90,50,105,6.5,Sugarcane,MOP
Black,95,50,105,6.5,Sugarcane,MOP
Black,100,50,105,6.5,Sugarcane,MOP
Black,75,55,110,7,Sugarcane,MOP
Black,80,55,110,7,Sugarcane,MOP
Black,85,55,110,7,Sugarcane,MOP
Black,90,55,110,7,Sugarcane,MOP
Black,95,55,110,7,Sugarcane,MOP
Black,100,55,110,7,Sugarcane,MOP
Black,75,60,115,7.5,Sugarcane,MOP
Black,80,60,115,7.5,Sugarcane,MOP
Black,85,60,115,7.5,Sugarcane,MOP
Black,90,60,115,7.5,Sugarcane,MOP
Black,95,60,115,7.5,Sugarcane,MOP
Black,100,60,115,7.5,Sugarcane,MOP
Black,20,30,25,7,Sorghum,Urea
Black,25,30,25,7,Sorghum,Urea
Black,30,30,25,7,Sorghum,Urea
Black,35,30,25,7,Sorghum,Urea
Black,40,30,25,7,Sorghum,Urea
Black,20,35,30,7.5,Sorghum,Urea
Black,25,35,30,7.5,Sorghum,Urea
Black,30,35,30,7.5,Sorghum,Urea
Black,35,35,30,7.5,Sorghum,Urea
Black,40,35,30,7.5,Sorghum,Urea
Black,20,25,35,6.5,Sorghum,Urea
Black,25,25,35,6.5,Sorghum,Urea
Black,30,25,35,6.5,Sorghum,Urea
Black,35,25,35,6.5,Sorghum,Urea
Black,40,25,35,6.5,Sorghum,Urea
Black,20,30,40,7,Sorghum,Urea
Black,25,30,40,7,Sorghum,Urea
Black,30,30,40,7,Sorghum,Urea
Black,35,30,40,7,Sorghum,Urea
Black,40,30,40,7,Sorghum,Urea
Black,20,35,25,7.5,Sorghum,SSP
Black,25,35,25,7.5,Sorghum,SSP
Black,30,35,25,7.5,Sorghum,SSP
Black,35,35,25,7.5,Sorghum,SSP
Black,40,35,25,7.5,Sorghum,SSP
Black,20,25,30,6.5,Sorghum,SSP
Black,25,25,30,6.5,Sorghum,SSP
Black,30,25,30,6.5,Sorghum,SSP
Black,35,25,30,6.5,Sorghum,SSP
Black,40,25,30,6.5,Sorghum,SSP
Black,20,30,35,7,Sorghum,SSP
Black,25,30,35,7,Sorghum,SSP
Black,30,30,35,7,Sorghum,SSP
Black,35,30,35,7,Sorghum,SSP
Black,40,30,35,7,Sorghum,SSP
Black,20,35,40,7.5,Sorghum,SSP
Black,25,35,40,7.5,Sorghum,SSP
Black,30,35,40,7.5,Sorghum,SSP
Black,35,35,40,7.5,Sorghum,SSP
Black,40,35,40,7.5,Sorghum,SSP
Red ,100,40,50,6,Cotton,DAP
Red ,105,40,50,6,Cotton,DAP
Red ,110,40,50,6,Cotton,DAP
Red ,115,40,50,6,Cotton,DAP
Red ,120,40,50,6,Cotton,DAP
Red ,125,40,50,6,Cotton,DAP
Red ,130,40,50,6,Cotton,DAP
Red ,135,40,50,6,Cotton,DAP
Red ,140,40,50,6,Cotton,DAP
Red ,145,40,50,6,Cotton,DAP
Red ,150,40,50,6,Cotton,DAP
Red ,100,45,55,6.5,Cotton,DAP
Red ,105,45,55,6.5,Cotton,DAP
Red ,110,45,55,6.5,Cotton,DAP
Red ,115,45,55,6.5,Cotton,DAP
Red ,120,45,55,6.5,Cotton,DAP
Red ,125,45,55,6.5,Cotton,DAP
Red ,130,45,55,6.5,Cotton,DAP
Red ,135,45,55,6.5,Cotton,DAP
Red ,140,45,55,6.5,Cotton,DAP
Red ,145,45,55,6.5,Cotton,DAP
Red ,150,45,55,6.5,Cotton,DAP
Red ,100,50,60,7,Cotton,DAP
Red ,105,50,60,7,Cotton,DAP
Red ,110,50,60,7,Cotton,DAP
Red ,115,50,60,7,Cotton,DAP
Red ,120,50,60,7,Cotton,DAP
Red ,125,50,60,7,Cotton,DAP
Red ,130,50,60,7,Cotton,DAP
Red ,135,50,60,7,Cotton,DAP
Red ,140,50,60,7,Cotton,DAP
Red ,145,50,60,7,Cotton,DAP
Red ,150,50,60,7,Cotton,DAP
Red ,100,55,65,7.5,Cotton,DAP
Red ,105,55,65,7.5,Cotton,DAP
Red ,110,55,65,7.5,Cotton,DAP
Red ,115,55,65,7.5,Cotton,DAP
Red ,120,55,65,7.5,Cotton,DAP
Red ,125,55,65,7.5,Cotton,DAP
Red ,130,55,65,7.5,Cotton,DAP
Red ,135,55,65,7.5,Cotton,DAP
Red ,140,55,65,7.5,Cotton,DAP
Red ,145,55,65,7.5,Cotton,DAP
Red ,150,55,65,7.5,Cotton,DAP
Red ,100,60,70,6,Cotton,DAP
Red ,105,60,70,6,Cotton,DAP
Red ,110,60,70,6,Cotton,DAP
Red ,115,60,70,6,Cotton,DAP
Red ,120,60,70,6,Cotton,DAP
Red ,125,60,70,6,Cotton,DAP
Red ,130,60,70,6,Cotton,DAP
Red ,135,60,70,6,Cotton,DAP
Red ,140,60,70,6,Cotton,DAP
Red ,145,60,70,6,Cotton,DAP
Red ,150,60,70,6,Cotton,DAP
Red ,100,40,75,6.5,Cotton,DAP
Red ,105,40,75,6.5,Cotton,DAP
Red ,110,40,75,6.5,Cotton,DAP
Red ,115,40,75,6.5,Cotton,DAP
Red ,120,40,75,6.5,Cotton,DAP
Red ,125,40,75,6.5,Cotton,DAP
Red ,130,40,75,6.5,Cotton,DAP
Red ,135,40,75,6.5,Cotton,DAP
Red ,140,40,75,6.5,Cotton,DAP
Red ,145,40,75,6.5,Cotton,DAP
Red ,150,40,75,6.5,Cotton,DAP
Red ,100,45,50,6,Cotton,Magnesium Sulphate
Red ,105,45,50,6,Cotton,Magnesium Sulphate
Red ,110,45,50,6,Cotton,Magnesium Sulphate
Red ,115,45,50,6,Cotton,Magnesium Sulphate
Red ,120,45,50,6,Cotton,Magnesium Sulphate
Red ,125,45,50,6,Cotton,Magnesium Sulphate
Red ,130,45,50,6,Cotton,Magnesium Sulphate
Red ,135,45,50,6,Cotton,Magnesium Sulphate
Red ,140,45,50,6,Cotton,Magnesium Sulphate
Red ,145,45,50,6,Cotton,Magnesium Sulphate
Red ,150,45,50,6,Cotton,Magnesium Sulphate
Red ,100,50,55,6.5,Cotton,Magnesium Sulphate
Red ,105,50,55,6.5,Cotton,Magnesium Sulphate
Red ,110,50,55,6.5,Cotton,Magnesium Sulphate
Red ,115,50,55,6.5,Cotton,Magnesium Sulphate
Red ,120,50,55,6.5,Cotton,Magnesium Sulphate
Red ,125,50,55,6.5,Cotton,Magnesium Sulphate
Red ,130,50,55,6.5,Cotton,Magnesium Sulphate
Red ,135,50,55,6.5,Cotton,Magnesium Sulphate
Red ,140,50,55,6.5,Cotton,Magnesium Sulphate
Red ,145,50,55,6.5,Cotton,Magnesium Sulphate
Red ,150,50,55,6.5,Cotton,Magnesium Sulphate
Red ,100,55,60,7,Cotton,Magnesium Sulphate
Red ,105,55,60,7,Cotton,Magnesium Sulphate
Red ,110,55,60,7,Cotton,Magnesium Sulphate
Red ,115,55,60,7,Cotton,Magnesium Sulphate
Red ,120,55,60,7,Cotton,Magnesium Sulphate
Red ,125,55,60,7,Cotton,Magnesium Sulphate
Red ,130,55,60,7,Cotton,Magnesium Sulphate
Red ,135,55,60,7,Cotton,Magnesium Sulphate
Red ,140,55,60,7,Cotton,Magnesium Sulphate
Red ,145,55,60,7,Cotton,Magnesium Sulphate
Red ,150,55,60,7,Cotton,Magnesium Sulphate
Red ,100,60,65,7.5,Cotton,Magnesium Sulphate
Red ,105,60,65,7.5,Cotton,Magnesium Sulphate
Red ,110,60,65,7.5,Cotton,Magnesium Sulphate
Red ,115,60,65,7.5,Cotton,Magnesium Sulphate
Red ,120,60,65,7.5,Cotton,Magnesium Sulphate
Red ,125,60,65,7.5,Cotton,Magnesium Sulphate
Red ,130,60,65,7.5,Cotton,Magnesium Sulphate
Red ,135,60,65,7.5,Cotton,Magnesium Sulphate
Red ,140,60,65,7.5,Cotton,Magnesium Sulphate
Red ,145,60,65,7.5,Cotton,Magnesium Sulphate
Red ,150,60,65,7.5,Cotton,Magnesium Sulphate
Red ,100,40,70,6,Cotton,Magnesium Sulphate
Red ,105,40,70,6,Cotton,Magnesium Sulphate
Red ,110,40,70,6,Cotton,Magnesium Sulphate
Red ,115,40,70,6,Cotton,Magnesium Sulphate
Red ,120,40,70,6,Cotton,Magnesium Sulphate
Red ,125,40,70,6,Cotton,Magnesium Sulphate
Red ,130,40,70,6,Cotton,Magnesium Sulphate
Red ,135,40,70,6,Cotton,Magnesium Sulphate
Red ,140,40,70,6,Cotton,Magnesium Sulphate
Red ,145,40,70,6,Cotton,Magnesium Sulphate
Red ,150,40,70,6,Cotton,Magnesium Sulphate
Red ,100,45,75,6.5,Cotton,Magnesium Sulphate
Red ,105,45,75,6.5,Cotton,Magnesium Sulphate
Red ,110,45,75,6.5,Cotton,Magnesium Sulphate
Red ,115,45,75,6.5,Cotton,Magnesium Sulphate
Red ,120,45,75,6.5,Cotton,Magnesium Sulphate
Red ,125,45,75,6.5,Cotton,Magnesium Sulphate
Red ,130,45,75,6.5,Cotton,Magnesium Sulphate
Red ,135,45,75,6.5,Cotton,Magnesium Sulphate
Red ,140,45,75,6.5,Cotton,Magnesium Sulphate
Red ,145,45,75,6.5,Cotton,Magnesium Sulphate
Red ,150,45,75,6.5,Cotton,Magnesium Sulphate
Red ,100,55,50,6,Cotton,DAP
Red ,105,55,50,6,Cotton,DAP
Red ,110,55,50,6,Cotton,DAP
Red ,115,55,50,6,Cotton,DAP
Red ,120,55,50,6,Cotton,DAP
Red ,125,55,50,6,Cotton,DAP
Red ,130,55,50,6,Cotton,DAP
Red ,135,55,50,6,Cotton,DAP
Red ,140,55,50,6,Cotton,DAP
Red ,145,55,50,6,Cotton,DAP
Red ,150,55,50,6,Cotton,DAP
Red ,100,60,55,6.5,Cotton,DAP
Red ,105,60,55,6.5,Cotton,DAP
Red ,110,60,55,6.5,Cotton,DAP
Red ,115,60,55,6.5,Cotton,DAP
Red ,120,60,55,6.5,Cotton,DAP
Red ,125,60,55,6.5,Cotton,DAP
Red ,130,60,55,6.5,Cotton,DAP
Red ,135,60,55,6.5,Cotton,DAP
Red ,140,60,55,6.5,Cotton,DAP
Red ,145,60,55,6.5,Cotton,DAP
Red ,150,60,55,6.5,Cotton,DAP
Red ,100,40,60,7,Cotton,DAP
Red ,105,40,60,7,Cotton,DAP
Red ,110,40,60,7,Cotton,DAP
Red ,115,40,60,7,Cotton,DAP
Red ,120,40,60,7,Cotton,DAP
Red ,125,40,60,7,Cotton,DAP
Red ,130,40,60,7,Cotton,DAP
Red ,135,40,60,7,Cotton,DAP
Red ,140,40,60,7,Cotton,DAP
Red ,145,40,60,7,Cotton,DAP
Red ,150,40,60,7,Cotton,DAP
Red ,100,45,65,7.5,Cotton,DAP
Red ,105,45,65,7.5,Cotton,DAP
Red ,110,45,65,7.5,Cotton,DAP
Red ,115,45,65,7.5,Cotton,DAP
Red ,120,45,65,7.5,Cotton,DAP
Red ,125,45,65,7.5,Cotton,DAP
Red ,130,45,65,7.5,Cotton,DAP
Red ,135,45,65,7.5,Cotton,DAP
Red ,140,45,65,7.5,Cotton,DAP
Red ,145,45,65,7.5,Cotton,DAP
Red ,150,45,65,7.5,Cotton,DAP
Red ,100,50,70,6,Cotton,DAP
Red ,105,50,70,6,Cotton,DAP
Red ,110,50,70,6,Cotton,DAP
Red ,115,50,70,6,Cotton,DAP
Red ,120,50,70,6,Cotton,DAP
Red ,125,50,70,6,Cotton,DAP
Red ,130,50,70,6,Cotton,DAP
Red ,135,50,70,6,Cotton,DAP
Red ,140,50,70,6,Cotton,DAP
Red ,145,50,70,6,Cotton,DAP
Red ,150,50,70,6,Cotton,DAP
Red ,100,55,75,6.5,Cotton,DAP
Red ,105,55,75,6.5,Cotton,DAP
Red ,110,55,75,6.5,Cotton,DAP
Red ,115,55,75,6.5,Cotton,DAP
Red ,120,55,75,6.5,Cotton,DAP
Red ,125,55,75,6.5,Cotton,DAP
Red ,130,55,75,6.5,Cotton,DAP
Red ,135,55,75,6.5,Cotton,DAP
Red ,140,55,75,6.5,Cotton,DAP
Red ,145,55,75,6.5,Cotton,DAP
Red ,150,55,75,6.5,Cotton,DAP
Red ,100,60,50,7,Cotton,Magnesium Sulphate
Red ,105,60,50,7,Cotton,Magnesium Sulphate
Red ,110,60,50,7,Cotton,Magnesium Sulphate
Red ,115,60,50,7,Cotton,Magnesium Sulphate
Red ,120,60,50,7,Cotton,Magnesium Sulphate
Red ,125,60,50,7,Cotton,Magnesium Sulphate
Red ,130,60,50,7,Cotton,Magnesium Sulphate
Red ,135,60,50,7,Cotton,Magnesium Sulphate
Red ,140,60,50,7,Cotton,Magnesium Sulphate
Red ,145,60,50,7,Cotton,Magnesium Sulphate
Red ,150,60,50,7,Cotton,Magnesium Sulphate
Red ,100,40,55,7.5,Cotton,Magnesium Sulphate
Red ,105,40,55,7.5,Cotton,Magnesium Sulphate
Red ,110,40,55,7.5,Cotton,Magnesium Sulphate
Red ,115,40,55,7.5,Cotton,Magnesium Sulphate
Red ,120,40,55,7.5,Cotton,Magnesium Sulphate
Red ,125,40,55,7.5,Cotton,Magnesium Sulphate
Red ,130,40,55,7.5,Cotton,Magnesium Sulphate
Red ,135,40,55,7.5,Cotton,Magnesium Sulphate
Red ,140,40,55,7.5,Cotton,Magnesium Sulphate
Red ,145,40,55,7.5,Cotton,Magnesium Sulphate
Red ,150,40,55,7.5,Cotton,Magnesium Sulphate
Red ,100,45,60,6,Cotton,Magnesium Sulphate
Red ,105,45,60,6,Cotton,Magnesium Sulphate
Red ,110,45,60,6,Cotton,Magnesium Sulphate
Red ,115,45,60,6,Cotton,Magnesium Sulphate
Red ,120,45,60,6,Cotton,Magnesium Sulphate
Red ,125,45,60,6,Cotton,Magnesium Sulphate
Red ,130,45,60,6,Cotton,Magnesium Sulphate
Red ,135,45,60,6,Cotton,Magnesium Sulphate
Red ,140,45,60,6,Cotton,Magnesium Sulphate
Red ,145,45,60,6,Cotton,Magnesium Sulphate
Red ,150,45,60,6,Cotton,Magnesium Sulphate
Red ,100,50,65,6.5,Cotton,Magnesium Sulphate
Red ,105,50,65,6.5,Cotton,Magnesium Sulphate
Red ,110,50,65,6.5,Cotton,Magnesium Sulphate
Red ,115,50,65,6.5,Cotton,Magnesium Sulphate
Red ,120,50,65,6.5,Cotton,Magnesium Sulphate
Red ,125,50,65,6.5,Cotton,Magnesium Sulphate
Red ,130,50,65,6.5,Cotton,Magnesium Sulphate
Red ,135,50,65,6.5,Cotton,Magnesium Sulphate
Red ,140,50,65,6.5,Cotton,Magnesium Sulphate
Red ,145,50,65,6.5,Cotton,Magnesium Sulphate
Red ,150,50,65,6.5,Cotton,Magnesium Sulphate
Red ,100,55,70,7,Cotton,Magnesium Sulphate
Red ,105,55,70,7,Cotton,Magnesium Sulphate
Red ,110,55,70,7,Cotton,Magnesium Sulphate
Red ,115,55,70,7,Cotton,Magnesium Sulphate
Red ,120,55,70,7,Cotton,Magnesium Sulphate
Red ,125,55,70,7,Cotton,Magnesium Sulphate
Red ,130,55,70,7,Cotton,Magnesium Sulphate
Red ,135,55,70,7,Cotton,Magnesium Sulphate
Red ,140,55,70,7,Cotton,Magnesium Sulphate
Red ,145,55,70,7,Cotton,Magnesium Sulphate
Red ,150,55,70,7,Cotton,Magnesium Sulphate
Red ,100,60,75,7.5,Cotton,Magnesium Sulphate
Red ,105,60,75,7.5,Cotton,Magnesium Sulphate
Red ,110,60,75,7.5,Cotton,Magnesium Sulphate
Red ,115,60,75,7.5,Cotton,Magnesium Sulphate
Red ,120,60,75,7.5,Cotton,Magnesium Sulphate
Red ,125,60,75,7.5,Cotton,Magnesium Sulphate
Red ,130,60,75,7.5,Cotton,Magnesium Sulphate
Red ,135,60,75,7.5,Cotton,Magnesium Sulphate
Red ,140,60,75,7.5,Cotton,Magnesium Sulphate
Red ,145,60,75,7.5,Cotton,Magnesium Sulphate
Red ,150,60,75,7.5,Cotton,Magnesium Sulphate
Red ,105,75,45,6.5,Cotton,DAP
Red ,110,75,45,6.5,Cotton,DAP
Red ,115,75,45,6.5,Cotton,DAP
Red ,120,75,45,6.5,Cotton,DAP
Red ,100,80,50,7,Cotton,DAP
Red ,105,80,50,7,Cotton,DAP
Red ,110,80,50,7,Cotton,DAP
Red ,115,80,50,7,Cotton,DAP
Red ,120,80,50,7,Cotton,DAP
Red ,100,60,55,7.5,Cotton,DAP
Red ,105,60,55,7.5,Cotton,DAP
Red ,110,60,55,7.5,Cotton,DAP
Red ,115,60,55,7.5,Cotton,DAP
Red ,120,60,55,7.5,Cotton,DAP
Red ,100,65,60,6,Cotton,DAP
Red ,105,65,60,6,Cotton,DAP
Red ,110,65,60,6,Cotton,DAP
Red ,115,65,60,6,Cotton,DAP
Red ,120,65,60,6,Cotton,DAP
Red ,100,70,65,6.5,Cotton,DAP
Red ,105,70,65,6.5,Cotton,DAP
Red ,110,70,65,6.5,Cotton,DAP
Red ,115,70,65,6.5,Cotton,DAP
Red ,120,70,65,6.5,Cotton,DAP
Red ,100,75,40,7,Cotton,DAP
Red ,105,75,40,7,Cotton,DAP
Red ,110,75,40,7,Cotton,DAP
Red ,115,75,40,7,Cotton,DAP
Red ,120,75,40,7,Cotton,DAP
Red ,100,80,45,7.5,Cotton,DAP
Red ,105,80,45,7.5,Cotton,DAP
Red ,110,80,45,7.5,Cotton,DAP
Red ,115,80,45,7.5,Cotton,DAP
Red ,120,80,45,7.5,Cotton,DAP
Red ,100,60,50,6,Cotton,DAP
Red ,105,60,50,6,Cotton,DAP
Red ,110,60,50,6,Cotton,DAP
Red ,115,60,50,6,Cotton,DAP
Red ,120,60,50,6,Cotton,DAP
Red ,100,65,55,6.5,Cotton,DAP
Red ,105,65,55,6.5,Cotton,DAP
Red ,110,65,55,6.5,Cotton,DAP
Red ,115,65,55,6.5,Cotton,DAP
Red ,120,65,55,6.5,Cotton,DAP
Red ,100,70,60,7,Cotton,DAP
Red ,105,70,60,7,Cotton,DAP
Red ,110,70,60,7,Cotton,DAP
Red ,115,70,60,7,Cotton,DAP
Red ,120,70,60,7,Cotton,DAP
Red ,100,75,65,7.5,Cotton,DAP
Red ,105,75,65,7.5,Cotton,DAP
Red ,110,75,65,7.5,Cotton,DAP
Red ,115,75,65,7.5,Cotton,DAP
Red ,120,75,65,7.5,Cotton,DAP
Red ,100,80,40,6,Cotton,DAP
Red ,105,80,40,6,Cotton,DAP
Red ,110,80,40,6,Cotton,DAP
Red ,115,80,40,6,Cotton,DAP
Red ,120,80,40,6,Cotton,DAP
Red ,100,60,45,6.5,Cotton,DAP
Red ,105,60,45,6.5,Cotton,DAP
Red ,110,60,45,6.5,Cotton,DAP
Red ,115,60,45,6.5,Cotton,DAP
Red ,120,60,45,6.5,Cotton,DAP
Red ,100,65,50,7,Cotton,DAP
Red ,105,65,50,7,Cotton,DAP
Red ,110,65,50,7,Cotton,Magnesium Sulphate
Red ,115,65,50,7,Cotton,Magnesium Sulphate
Red ,120,65,50,7,Cotton,Magnesium Sulphate
Red ,100,70,55,7.5,Cotton,Magnesium Sulphate
Red ,105,70,55,7.5,Cotton,Magnesium Sulphate
Red ,110,70,55,7.5,Cotton,Magnesium Sulphate
Red ,115,70,55,7.5,Cotton,Magnesium Sulphate
Red ,120,70,55,7.5,Cotton,Magnesium Sulphate
Red ,100,75,60,6,Cotton,Magnesium Sulphate
Red ,105,75,60,6,Cotton,Magnesium Sulphate
Red ,110,75,60,6,Cotton,Magnesium Sulphate
Red ,115,75,60,6,Cotton,Magnesium Sulphate
Red ,120,75,60,6,Cotton,Magnesium Sulphate
Red ,100,80,65,6.5,Cotton,Magnesium Sulphate
Red ,105,80,65,6.5,Cotton,Magnesium Sulphate
Red ,110,80,65,6.5,Cotton,Magnesium Sulphate
Red ,115,80,65,6.5,Cotton,Magnesium Sulphate
Red ,120,80,65,6.5,Cotton,Magnesium Sulphate
Medium Brown,20,15,20,5.5,Rice,Urea
Medium Brown,25,15,20,5.5,Rice,Urea
Medium Brown,30,15,20,5.5,Rice,Urea
Medium Brown,20,20,25,6,Rice,Urea
Medium Brown,25,20,25,6,Rice,Urea
Medium Brown,30,20,25,6,Rice,Urea
Medium Brown,20,15,25,6.5,Rice,Urea
Medium Brown,25,15,25,6.5,Rice,Urea
Medium Brown,30,15,25,6.5,Rice,Urea
Medium Brown,20,20,20,5.5,Rice,Urea
Medium Brown,25,20,20,5.5,Rice,Urea
Medium Brown,30,20,20,5.5,Rice,Urea
Medium Brown,25,20,30,6,Rice,Urea
Medium Brown,30,20,30,6,Rice,Urea
Medium Brown,35,20,30,6,Rice,Urea
Medium Brown,25,25,35,6.5,Rice,Urea
Medium Brown,30,25,35,6.5,Rice,Urea
Medium Brown,35,25,35,6.5,Rice,Urea
Medium Brown,25,30,40,5.5,Rice,Urea
Medium Brown,30,30,40,5.5,Rice,Urea
Dark Brown,100,60,45,6.5,Wheat,Urea
Dark Brown,105,60,45,6.5,Wheat,Urea
Dark Brown,110,60,45,6.5,Wheat,Urea
Dark Brown,115,60,45,6.5,Wheat,Urea
Dark Brown,120,60,45,6.5,Wheat,Urea
Dark Brown,100,65,50,7,Wheat,Urea
Dark Brown,105,65,50,7,Wheat,Urea
Dark Brown,110,65,50,7,Wheat,Urea
Dark Brown,115,65,50,7,Wheat,Urea
Dark Brown,120,65,50,7,Wheat,Urea
Dark Brown,100,70,55,7.5,Wheat,Urea
Dark Brown,105,70,55,7.5,Wheat,Urea
Dark Brown,110,70,55,7.5,Wheat,Urea
Dark Brown,115,70,55,7.5,Wheat,Urea
Dark Brown,120,70,55,7.5,Wheat,Urea
Dark Brown,100,75,60,6,Wheat,Urea
Dark Brown,105,75,60,6,Wheat,Urea
Dark Brown,110,75,60,6,Wheat,Urea
Dark Brown,115,75,60,6,Wheat,Urea
Dark Brown,120,75,60,6,Wheat,Urea
Dark Brown,100,80,40,6.5,Wheat,Urea
Dark Brown,105,80,40,6.5,Wheat,Urea
Dark Brown,110,80,40,6.5,Wheat,Urea
Dark Brown,115,80,40,6.5,Wheat,Urea
Dark Brown,120,80,40,6.5,Wheat,Urea
Dark Brown,100,60,55,7.5,Wheat,Urea
Dark Brown,105,60,55,7.5,Wheat,Urea
Dark Brown,110,60,55,7.5,Wheat,Urea
Dark Brown,115,60,55,7.5,Wheat,Urea
Dark Brown,120,60,55,7.5,Wheat,Urea
Dark Brown,100,65,60,6,Wheat,Urea
Dark Brown,105,65,60,6,Wheat,Urea
Dark Brown,110,65,60,6,Wheat,Urea
Dark Brown,115,65,60,6,Wheat,Urea
Dark Brown,120,65,60,6,Wheat,Urea
Dark Brown,100,70,40,6.5,Wheat,Urea
Dark Brown,105,70,40,6.5,Wheat,Urea
Dark Brown,110,70,40,6.5,Wheat,Urea
Dark Brown,115,70,40,6.5,Wheat,Urea
Dark Brown,120,70,40,6.5,Wheat,Urea
Dark Brown,100,75,45,7,Wheat,Urea
Dark Brown,105,75,45,7,Wheat,Urea
Dark Brown,110,75,45,7,Wheat,Urea
Dark Brown,115,75,45,7,Wheat,Urea
Dark Brown,120,75,45,7,Wheat,Urea
Dark Brown,100,80,50,7.5,Wheat,Urea
Dark Brown,105,80,50,7.5,Wheat,Urea
Dark Brown,110,80,50,7.5,Wheat,Urea
Dark Brown,115,80,50,7.5,Wheat,Urea
Dark Brown,120,80,50,7.5,Wheat,Urea
Dark Brown,100,40,40,6,Wheat,Urea
Dark Brown,105,40,40,6,Wheat,Urea
Dark Brown,110,40,40,6,Wheat,Urea
Dark Brown,115,40,40,6,Wheat,Urea
Dark Brown,120,40,40,6,Wheat,Urea
Dark Brown,100,45,45,6.5,Wheat,Urea
Dark Brown,105,45,45,6.5,Wheat,Urea
Dark Brown,110,45,45,6.5,Wheat,Urea
Dark Brown,115,45,45,6.5,Wheat,Urea
Dark Brown,120,45,45,6.5,Wheat,Urea
Dark Brown,100,50,50,7,Wheat,Urea
Dark Brown,105,50,50,7,Wheat,Urea
Dark Brown,110,50,50,7,Wheat,Urea
Dark Brown,115,50,50,7,Wheat,Urea
Dark Brown,120,50,50,7,Wheat,Urea
Dark Brown,100,55,55,7.5,Wheat,Urea
Dark Brown,105,55,55,7.5,Wheat,Urea
Dark Brown,110,55,55,7.5,Wheat,Urea
Dark Brown,115,55,55,7.5,Wheat,Urea
Dark Brown,120,55,55,7.5,Wheat,Urea
Dark Brown,100,60,60,6,Wheat,Urea
Dark Brown,105,60,60,6,Wheat,Urea
Dark Brown,110,60,60,6,Wheat,Urea
Dark Brown,115,60,60,6,Wheat,Urea
Dark Brown,120,60,60,6,Wheat,Urea
Dark Brown,100,40,50,7,Wheat,Urea
Dark Brown,105,40,50,7,Wheat,Urea
Dark Brown,110,40,50,7,Wheat,Urea
Dark Brown,115,40,50,7,Wheat,Urea
Dark Brown,120,40,50,7,Wheat,Urea
Dark Brown,100,45,55,7.5,Wheat,Urea
Dark Brown,105,45,55,7.5,Wheat,Urea
Dark Brown,110,45,55,7.5,Wheat,Urea
Dark Brown,115,45,55,7.5,Wheat,Urea
Dark Brown,120,45,55,7.5,Wheat,Urea
Dark Brown,100,50,60,6,Wheat,Urea
